Altium Designer Pick and Place Locations
D:\Projekte\UltraZohm\Work_Altium\uz_per_voltage_card_breakout\Project Outputs for uz_per_voltage_card_breakout\Rev01\Pick Place\Pick Place for uz_per_voltage_card_breakout.csv

========================================================================================================================
File Design Information:

Date:       23.01.26
Time:       12:02
Revision:   b6d1c7e21832e4673186609cc8358b588b510ba3
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"X8","IPL1-115-01-XX-D-RA","80.0000","69.0780","85.9000","85.9000","70.3480","103.6800","270","IPL1-115-01-L-D-RA-K","TopLayer"
"X4","IPL1-115-01-XX-D-RA","0.0000","10.9220","85.9000","85.9000","9.6520","103.6800","270","IPL1-115-01-L-D-RA-K","BottomLayer"
"X13","IPL1-120-01-XX-D-RA","80.0000","69.0780","38.4000","38.4000","70.3480","62.5300","270","IPL1-120-01-L-D-RA-K","TopLayer"
"X12","IPL1-120-01-XX-D-RA","0.0000","10.9220","38.4000","38.4000","9.6520","62.5300","270","IPL1-120-01-L-D-RA-K","BottomLayer"
"X22","TSM-102-01-L-DV","60.0000","60.0000","11.0000","11.0000","62.4750","9.7300","90","PH 0.1" SMD 2x02","TopLayer"
"X21","TSM-102-01-L-DV","40.0000","40.0000","11.0000","11.0000","42.4750","9.7300","90","PH 0.1" SMD 2x02","TopLayer"
"X20","TSM-102-01-L-DV","20.0000","20.0000","11.0000","11.0000","22.4750","9.7300","90","PH 0.1" SMD 2x02","TopLayer"
"X16","TSM-102-01-L-DV","60.0000","60.0000","45.0000","45.0000","62.4750","43.7300","90","PH 0.1" SMD 2x02","TopLayer"
"X15","TSM-102-01-L-DV","40.0000","40.0000","45.0000","45.0000","42.4750","43.7300","90","PH 0.1" SMD 2x02","TopLayer"
"X14","TSM-102-01-L-DV","20.0000","20.0000","45.0000","45.0000","22.4750","43.7300","90","PH 0.1" SMD 2x02","TopLayer"
"X3","TSM-102-01-L-DV","60.0000","60.0000","106.0000","106.0000","62.4750","104.7300","90","PH 0.1" SMD 2x02","TopLayer"
"X2","TSM-102-01-L-DV","40.0000","40.0000","106.0000","106.0000","42.4750","104.7300","90","PH 0.1" SMD 2x02","TopLayer"
"X1","TSM-102-01-L-DV","20.0000","20.0000","106.0000","106.0000","22.4750","104.7300","90","PH 0.1" SMD 2x02","TopLayer"
"X19","TSM-110-01-L-DV","60.0000","60.0000","28.0000","28.0000","57.5250","39.4300","90","PH 0.1" SMD 2x10","TopLayer"
"X18","TSM-110-01-L-DV","40.0000","40.0000","28.0000","28.0000","37.5250","39.4300","90","PH 0.1" SMD 2x10","TopLayer"
"X17","TSM-110-01-L-DV","20.0000","20.0000","28.0000","28.0000","17.5250","39.4300","90","PH 0.1" SMD 2x10","TopLayer"
"X11","TSM-110-01-L-DV","60.0000","60.0000","62.0000","62.0000","57.5250","73.4300","90","PH 0.1" SMD 2x10","TopLayer"
"X10","TSM-110-01-L-DV","40.0000","40.0000","62.0000","62.0000","37.5250","73.4300","90","PH 0.1" SMD 2x10","TopLayer"
"X9","TSM-110-01-L-DV","20.0000","20.0000","62.0000","62.0000","17.5250","73.4300","90","PH 0.1" SMD 2x10","TopLayer"
"X7","TSM-110-01-L-DV","60.0000","60.0000","89.0000","89.0000","57.5250","100.4300","90","PH 0.1" SMD 2x10","TopLayer"
"X6","TSM-110-01-L-DV","40.0000","40.0000","89.0000","89.0000","37.5250","100.4300","90","PH 0.1" SMD 2x10","TopLayer"
"X5","TSM-110-01-L-DV","20.0000","20.0000","89.0000","89.0000","17.5250","100.4300","90","PH 0.1" SMD 2x10","TopLayer"
"X26","TSW-106-XX-XXX-S","57.0000","57.0400","115.0000","115.0000","63.3500","115.0000","180","TSW-106-07-L-S","TopLayer"
"X25","TSW-106-XX-XXX-S","22.0000","22.0400","115.0000","115.0000","28.3500","115.0000","180","TSW-106-07-L-S","TopLayer"
"X24","TSW-106-XX-XXX-S","57.0000","57.0400","3.0000","3.0000","63.3500","3.0000","180","TSW-106-07-L-S","TopLayer"
"X23","TSW-106-XX-XXX-S","22.0000","22.0400","3.0000","3.0000","28.3500","3.0000","180","TSW-106-07-L-S","TopLayer"
